,computer_name,event_id,message
13,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:12:42.224
ProcessGuid: {ca24abc9-df79-66c3-8502-000000001d00}
ProcessId: 6888
QueryName: www.tightvnc.com
QueryStatus: 0
QueryResults: ::ffff:178.57.221.94;
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
14,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:12:42.397
ProcessGuid: {ca24abc9-d62f-66c3-4800-000000001d00}
ProcessId: 3432
QueryName: www.tightvnc.com
QueryStatus: 0
QueryResults: 178.57.221.94;
Image: C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe
User: NT AUTHORITY\SYSTEM"
15,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:13:17.381
ProcessGuid: {ca24abc9-df9c-66c3-b702-000000001d00}
ProcessId: 2824
QueryName: raw.githubusercontent.com
QueryStatus: 0
QueryResults: ::ffff:185.199.110.133;::ffff:185.199.108.133;::ffff:185.199.109.133;::ffff:185.199.111.133;
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
16,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:13:17.695
ProcessGuid: {ca24abc9-d62c-66c3-3b00-000000001d00}
ProcessId: 2964
QueryName: MY-CAL-WIN10
QueryStatus: 0
QueryResults: fe80::e780:23dd:6c8c:c7a8;fe80::3a82:bcc3:184c:5cc2;
Image: C:\Windows\System32\spoolsv.exe
User: NT AUTHORITY\SYSTEM"
17,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:14:39.289
ProcessGuid: {ca24abc9-dfe9-66c3-dd02-000000001d00}
ProcessId: 11056
QueryName: my-caldera.local
QueryStatus: 9003
QueryResults: -
Image: C:\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE
User: MY-CALDERA\johnny.douche"
18,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:48:24.994
ProcessGuid: {ca24abc9-e6da-66c3-cf08-000000001d00}
ProcessId: 10800
QueryName: www.7-zip.org
QueryStatus: 1460
QueryResults: -
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
19,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:50:15.525
ProcessGuid: {ca24abc9-e846-66c3-eb08-000000001d00}
ProcessId: 9644
QueryName: the.earth.li
QueryStatus: 9701
QueryResults: -
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
20,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:51:42.570
ProcessGuid: {ca24abc9-e89b-66c3-5909-000000001d00}
ProcessId: 936
QueryName: www.powershellgallery.com
QueryStatus: 9701
QueryResults: -
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
21,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:52:01.701
ProcessGuid: {ca24abc9-e8a6-66c3-6809-000000001d00}
ProcessId: 4732
QueryName: www.nirsoft.net
QueryStatus: 1460
QueryResults: -
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
22,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:51:17.796
ProcessGuid: {ca24abc9-e877-66c3-4509-000000001d00}
ProcessId: 3716
QueryName: www.powershellgallery.com
QueryStatus: 1460
QueryResults: -
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
