computer_name,event_id,Image,TargetFilename,User
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule680004v0.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule680006v0.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68000v3.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68001v2.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68002v11.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68003v12.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68004v16.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68006v0.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68008v4.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68009v0.xml,MY-CALDERA\johnny.douche
