computer_name,event_id,message
MY-CAL-WIN10.my-caldera.local,11,"File created:
RuleName: DO
UtcTime: 2024-08-20 00:51:40.154
ProcessGuid: {ca24abc9-e89b-66c3-5909-000000001d00}
ProcessId: 936
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\johnny.douche\AppData\Local\Temp\vy3tb5b0\vy3tb5b0.0.cs
CreationUtcTime: 2024-08-20 00:51:40.154
User: MY-CALDERA\johnny.douche"
MY-CAL-WIN10.my-caldera.local,11,"File created:
RuleName: DLL
UtcTime: 2024-08-20 00:51:40.156
ProcessGuid: {ca24abc9-e89b-66c3-5909-000000001d00}
ProcessId: 936
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\johnny.douche\AppData\Local\Temp\vy3tb5b0\vy3tb5b0.dll
CreationUtcTime: 2024-08-20 00:51:40.156
User: MY-CALDERA\johnny.douche"
MY-CAL-WIN10.my-caldera.local,11,"File created:
RuleName: Sysmonv1514
UtcTime: 2024-08-20 00:51:40.157
ProcessGuid: {ca24abc9-e89b-66c3-5909-000000001d00}
ProcessId: 936
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\johnny.douche\AppData\Local\Temp\vy3tb5b0\vy3tb5b0.cmdline
CreationUtcTime: 2024-08-20 00:51:40.157
User: MY-CALDERA\johnny.douche"
MY-CAL-WIN10.my-caldera.local,11,"File created:
RuleName: DO
UtcTime: 2024-08-20 00:51:40.161
ProcessGuid: {ca24abc9-e89b-66c3-5909-000000001d00}
ProcessId: 936
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\johnny.douche\AppData\Local\Temp\vy3tb5b0\vy3tb5b0.out
CreationUtcTime: 2024-08-20 00:51:40.159
User: MY-CALDERA\johnny.douche"
MY-CAL-WIN10.my-caldera.local,11,"File created:
RuleName: DO
UtcTime: 2024-08-20 00:51:40.162
ProcessGuid: {ca24abc9-e89b-66c3-5909-000000001d00}
ProcessId: 936
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\johnny.douche\AppData\Local\Temp\vy3tb5b0\vy3tb5b0.err
CreationUtcTime: 2024-08-20 00:51:40.162
User: MY-CALDERA\johnny.douche"
MY-CAL-WIN10.my-caldera.local,11,"File created:
RuleName: DO
UtcTime: 2024-08-20 00:51:40.309
ProcessGuid: {ca24abc9-e89c-66c3-5b09-000000001d00}
ProcessId: 9304
Image: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
TargetFilename: C:\Users\johnny.douche\AppData\Local\Temp\vy3tb5b0\CSC2516DD1893FD4A828F6CBE1329C8F36.TMP
CreationUtcTime: 2024-08-20 00:51:40.308
User: MY-CALDERA\johnny.douche"
MY-CAL-WIN10.my-caldera.local,11,"File created:
RuleName: DO
UtcTime: 2024-08-20 00:51:40.311
ProcessGuid: {ca24abc9-e89c-66c3-5b09-000000001d00}
ProcessId: 9304
Image: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
TargetFilename: C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\RESB1AE.tmp
CreationUtcTime: 2024-08-20 00:51:40.310
User: MY-CALDERA\johnny.douche"
MY-CAL-WIN10.my-caldera.local,11,"File created:
RuleName: DO
UtcTime: 2024-08-20 00:51:40.335
ProcessGuid: {ca24abc9-e89c-66c3-5c09-000000001d00}
ProcessId: 2544
Image: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe
TargetFilename: C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\RESB1AE.tmp
CreationUtcTime: 2024-08-20 00:51:40.310
User: MY-CALDERA\johnny.douche"
MY-CAL-WIN10.my-caldera.local,11,"File created:
RuleName: DLL
UtcTime: 2024-08-20 00:51:40.343
ProcessGuid: {ca24abc9-e89c-66c3-5b09-000000001d00}
ProcessId: 9304
Image: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
TargetFilename: C:\Users\johnny.douche\AppData\Local\Temp\vy3tb5b0\vy3tb5b0.dll
CreationUtcTime: 2024-08-20 00:51:40.156
User: MY-CALDERA\johnny.douche"
MY-CAL-WIN10.my-caldera.local,11,"File created:
RuleName: DO
UtcTime: 2024-08-20 00:51:44.567
ProcessGuid: {ca24abc9-e8a0-66c3-6209-000000001d00}
ProcessId: 3444
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\johnny.douche\AppData\Local\Microsoft\Windows\PowerShell\StartupProfileData-NonInteractive
CreationUtcTime: 2024-03-28 01:06:06.420
User: MY-CALDERA\johnny.douche"
