computer_name,event_id,Image,SourceIp,SourceHostname,SourcePort,User,DestinationIp,DestinationHostname,DestinationPort
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,239.255.255.250,-,1900,NT AUTHORITY\LOCAL SERVICE,172.16.26.232,EP-W10-REDPILL,53595
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,64247,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,64051,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,55405,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\schtasks.exe,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,50815,MY-CALDERA\johnny.douche,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,135
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,50815,NT AUTHORITY\NETWORK SERVICE,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,135
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\schtasks.exe,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,50816,MY-CALDERA\johnny.douche,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,49666
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,50816,NT AUTHORITY\SYSTEM,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,49666
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53741,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62291,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,61242,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,57569,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,System,172.16.26.255,-,138,NT AUTHORITY\SYSTEM,172.16.26.216,EP-WIN11-01,138
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51556,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,57724,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\AtomicRedTeam\atomics\T1055\bin\x64\searchVuln.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50835,MY-CALDERA\johnny.douche,172.64.149.23,-,80
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,64985,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\AtomicRedTeam\atomics\T1055\bin\x64\searchVuln.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50836,MY-CALDERA\johnny.douche,172.64.149.23,-,80
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50634,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,50867,NT AUTHORITY\SYSTEM,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,5985
MY-CAL-WIN10.my-caldera.local,3,System,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,50867,NT AUTHORITY\SYSTEM,0:0:0:0:0:0:0:1,MY-CAL-WIN10.my-caldera.local,5985
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,57469,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,59148,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,59381,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,63136,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,fe80:0:0:0:e780:23dd:6c8c:c7a8,MY-CAL-WIN10.my-caldera.local,59043,NT AUTHORITY\NETWORK SERVICE,ff02:0:0:0:0:0:1:3,-,5355
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,fe80:0:0:0:b523:a2e6:d54c:210a,MY-CAL-WIN10.my-caldera.local,59043,NT AUTHORITY\NETWORK SERVICE,ff02:0:0:0:0:0:1:3,-,5355
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,63385,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,fe80:0:0:0:3a82:bcc3:184c:5cc2,MY-CAL-WIN10.my-caldera.local,57133,NT AUTHORITY\NETWORK SERVICE,ff02:0:0:0:0:0:1:3,-,5355
MY-CAL-WIN10.my-caldera.local,3,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50890,NT AUTHORITY\SYSTEM,3.97.4.86,ec2-3-97-4-86.ca-central-1.compute.amazonaws.com,443
MY-CAL-WIN10.my-caldera.local,3,System,172.16.26.255,-,138,NT AUTHORITY\SYSTEM,172.16.26.223,-,138
MY-CAL-WIN10.my-caldera.local,3,System,172.16.26.255,-,138,NT AUTHORITY\SYSTEM,172.16.26.221,MY-CAL-WIN11,138
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50893,MY-CALDERA\johnny.douche,185.199.108.133,cdn-185-199-108-133.github.com,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,54472,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,52353,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,58022,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53771,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50896,MY-CALDERA\johnny.douche,185.199.108.133,cdn-185-199-108-133.github.com,443
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,59016,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
